id;id_cliente;dt_compra;produto;qtde;delivery;pgto
1;4586;01/01/2019;28;1;n;cd
2;;01/01/2019;94;2;n;cc
3;;01/01/2019;94;5;n;d
4;3299;01/01/2019;42;5;n;cd
5;1503;01/01/2019;3;4;n;cc
6;;01/01/2019;80;5;n;cd
7;4087;01/01/2019;57;6;n;d
8;3201;01/01/2019;9;1;n;cd
9;;01/01/2019;88;6;n;d
10;2079;01/01/2019;59;3;s;cc
11;;01/01/2019;96;1;s;cc
12;2566;01/01/2019;33;4;s;cc
13;1530;01/01/2019;48;2;s;cc
14;2760;01/01/2019;7;3;n;d
15;4506;02/01/2019;17;2;s;cc
16;4545;02/01/2019;20;3;n;cd
17;2701;02/01/2019;66;4;s;d
18;4072;02/01/2019;35;1;n;cc
19;;02/01/2019;79;1;;d
20;1190;02/01/2019;21;3;s;d
21;2636;02/01/2019;6;4;n;cd
22;2245;02/01/2019;64;1;s;cd
23;4361;02/01/2019;18;4;n;cc
24;3123;02/01/2019;40;3;n;cc
25;4096;02/01/2019;32;3;n;cc
26;3999;02/01/2019;64;5;n;cd
27;3446;02/01/2019;25;5;n;cd
28;;02/01/2019;105;2;n;cc
29;3533;02/01/2019;46;2;n;cd
30;3641;02/01/2019;7;6;n;cc
31;3714;02/01/2019;5;2;n;cc
32;2133;02/01/2019;49;4;n;d
33;3367;02/01/2019;12;1;s;d
34;;03/01/2019;78;1;n;cc
35;1225;03/01/2019;72;5;s;cc
36;;03/01/2019;80;3;n;cd
37;1120;03/01/2019;45;2;s;cd
38;2390;03/01/2019;27;5;n;d
39;;03/01/2019;79;3;;cc
40;1200;03/01/2019;5;4;n;cc
41;2478;03/01/2019;71;5;n;cc
42;;03/01/2019;113;3;n;cd
43;;03/01/2019;82;2;n;cd
44;1283;03/01/2019;62;3;n;d
45;3089;03/01/2019;29;5;n;cd
46;4211;03/01/2019;28;3;;cc
47;4852;03/01/2019;26;6;n;cc
48;2735;03/01/2019;18;3;n;cd
49;;04/01/2019;80;6;n;d
50;;04/01/2019;81;2;n;d
51;382;04/01/2019;2;4;n;cd
52;3142;04/01/2019;40;5;n;cd
53;1202;04/01/2019;65;1;n;cd
54;1624;04/01/2019;59;5;n;cd
55;1728;04/01/2019;19;5;n;cc
56;;04/01/2019;76;2;n;d
57;2641;04/01/2019;26;2;s;cc
58;283;04/01/2019;75;3;s;cd
59;;04/01/2019;101;5;n;cc
60;2821;04/01/2019;15;1;s;d
61;;04/01/2019;95;6;n;cc
62;1487;04/01/2019;34;2;s;cd
63;;04/01/2019;88;4;n;cc
64;;04/01/2019;109;2;s;cd
65;762;04/01/2019;65;6;n;cd
66;4635;04/01/2019;26;3;s;cd
67;1936;04/01/2019;68;6;n;d
68;1131;04/01/2019;69;1;s;cc
69;3203;04/01/2019;54;5;n;cd
70;445;04/01/2019;3;1;s;cc
71;;05/01/2019;80;5;n;cc
72;;05/01/2019;101;4;;cd
73;;05/01/2019;94;4;s;d
74;8;05/01/2019;55;6;s;cd
75;602;05/01/2019;22;2;s;cc
76;1946;05/01/2019;30;5;s;cc
77;2376;05/01/2019;72;3;n;cc
78;;05/01/2019;115;2;n;d
79;966;05/01/2019;64;2;n;d
80;;05/01/2019;79;1;n;cc
81;846;05/01/2019;74;5;n;cc
82;2076;05/01/2019;36;3;n;cc
83;2819;05/01/2019;48;5;n;d
84;;06/01/2019;89;5;n;cd
85;4645;06/01/2019;10;4;n;cc
86;;06/01/2019;78;2;n;cc
87;3344;06/01/2019;53;1;n;cd
88;2745;06/01/2019;63;5;n;cc
89;1114;06/01/2019;51;3;s;cd
90;4445;06/01/2019;29;3;n;cd
91;150;06/01/2019;70;2;s;cd
92;3022;06/01/2019;16;6;n;cc
93;;06/01/2019;101;4;s;d
94;;06/01/2019;93;5;s;cc
95;1161;06/01/2019;10;3;s;cc
96;;06/01/2019;113;5;n;cd
97;3237;06/01/2019;31;2;s;cc
98;4593;06/01/2019;15;2;s;cd
99;3508;06/01/2019;7;3;n;d
100;;06/01/2019;85;2;n;d
101;612;06/01/2019;72;3;;cd
102;;06/01/2019;93;1;n;cc
103;;06/01/2019;119;3;n;cc
104;1670;06/01/2019;68;4;n;cc
105;4506;06/01/2019;69;4;n;d
106;796;06/01/2019;59;1;n;cd
107;;06/01/2019;116;4;n;cc
108;3083;07/01/2019;72;4;n;cc
109;513;07/01/2019;74;2;s;cc
110;;07/01/2019;100;6;n;d
111;3780;07/01/2019;45;4;s;cc
112;;07/01/2019;89;5;n;cc
113;2372;07/01/2019;67;2;s;d
114;;07/01/2019;83;3;n;cd
115;;07/01/2019;83;5;s;cc
116;4854;07/01/2019;32;5;n;cd
117;666;07/01/2019;18;5;n;d
118;;07/01/2019;98;4;n;cd
119;4366;07/01/2019;9;2;n;cc
120;1589;07/01/2019;11;2;n;cc
121;1339;07/01/2019;11;3;s;d
122;2189;07/01/2019;57;6;;cd
123;;07/01/2019;85;6;s;d
124;3351;08/01/2019;50;2;s;cd
125;2481;08/01/2019;16;1;s;cc
126;2824;08/01/2019;59;4;s;cd
127;779;08/01/2019;15;6;n;cc
128;1986;08/01/2019;57;3;s;cd
129;;08/01/2019;115;2;n;cd
130;;08/01/2019;111;1;s;d
131;1868;08/01/2019;70;4;n;cc
132;4348;08/01/2019;21;3;s;d
133;472;08/01/2019;18;6;n;cc
134;49;08/01/2019;34;2;s;cc
135;;08/01/2019;79;6;s;d
136;3290;08/01/2019;74;5;n;d
137;1794;08/01/2019;65;6;s;cc
138;;08/01/2019;97;4;n;cd
139;1712;08/01/2019;2;2;s;d
140;1353;08/01/2019;25;4;n;cc
141;;08/01/2019;109;5;;cc
142;2963;09/01/2019;75;1;n;cc
143;3851;09/01/2019;70;6;n;cc
144;3180;09/01/2019;55;3;n;cd
145;4452;09/01/2019;71;3;n;cc
146;1204;09/01/2019;61;5;n;cc
147;;09/01/2019;92;2;n;cd
148;;09/01/2019;102;2;;cd
149;;09/01/2019;87;4;n;d
150;3425;09/01/2019;68;2;n;cc
151;2057;09/01/2019;56;4;n;d
152;;09/01/2019;104;6;n;d
153;1538;09/01/2019;24;5;n;d
154;;09/01/2019;114;3;n;cd
155;3022;09/01/2019;28;6;n;cc
156;740;09/01/2019;47;5;n;cd
157;2168;09/01/2019;34;4;n;cc
158;413;10/01/2019;68;6;n;d
159;1985;10/01/2019;64;6;s;cc
160;2670;10/01/2019;43;1;s;cc
161;2890;10/01/2019;19;2;n;cc
162;582;10/01/2019;53;5;s;cd
163;1026;10/01/2019;27;5;n;d
164;950;10/01/2019;22;1;s;cc
165;2162;10/01/2019;48;4;n;cc
166;3446;10/01/2019;17;1;s;cc
167;;10/01/2019;109;5;n;cd
168;;10/01/2019;79;6;s;d
169;;10/01/2019;109;2;n;d
170;971;10/01/2019;66;6;s;cc
171;;10/01/2019;90;6;n;d
172;460;10/01/2019;33;4;s;cd
173;1532;10/01/2019;31;6;n;cc
174;1858;10/01/2019;32;1;;cc
175;3622;10/01/2019;33;1;s;cc
176;1532;10/01/2019;43;4;s;cc
177;1336;10/01/2019;45;5;s;cd
178;;10/01/2019;119;3;s;cc
179;3530;10/01/2019;66;1;n;cc
180;;10/01/2019;88;4;n;cd
181;;11/01/2019;116;1;n;cc
182;3633;11/01/2019;5;1;n;d
183;826;11/01/2019;69;6;n;d
184;4393;11/01/2019;26;3;n;cc
185;2762;11/01/2019;58;1;n;cc
186;566;11/01/2019;18;5;n;cc
187;;11/01/2019;97;2;n;cd
188;;11/01/2019;76;5;n;d
189;1410;11/01/2019;39;3;n;d
190;;11/01/2019;111;3;n;cc
191;;11/01/2019;117;5;s;d
192;;11/01/2019;89;2;n;d
193;3040;12/01/2019;42;1;s;d
194;2556;12/01/2019;19;4;n;d
195;;12/01/2019;112;4;s;d
196;1239;12/01/2019;53;6;s;cd
197;3238;12/01/2019;71;6;s;cc
198;3553;12/01/2019;19;5;n;cd
199;2491;12/01/2019;32;6;s;cc
200;3269;12/01/2019;59;4;s;cd
201;;12/01/2019;99;6;n;cd
202;;12/01/2019;78;3;n;cd
203;4541;12/01/2019;24;5;;cc
204;1471;12/01/2019;13;5;n;d
205;;12/01/2019;96;1;n;d
206;;12/01/2019;105;6;n;cc
207;;12/01/2019;78;4;n;cd
208;3473;12/01/2019;23;5;n;cc
209;592;12/01/2019;21;3;n;cd
210;1243;12/01/2019;31;1;n;cd
211;3122;13/01/2019;65;4;s;cc
212;;13/01/2019;98;3;n;cd
213;2047;13/01/2019;35;6;s;cc
214;3098;13/01/2019;33;4;n;cc
215;1322;13/01/2019;16;5;s;d
216;428;13/01/2019;66;3;n;cc
217;4124;13/01/2019;46;4;s;d
218;;13/01/2019;90;1;n;cd
219;;13/01/2019;107;1;n;cd
220;;13/01/2019;103;5;n;cd
221;4665;13/01/2019;67;1;n;cd
222;;13/01/2019;82;1;n;cc
223;1541;13/01/2019;29;2;s;d
224;754;13/01/2019;12;5;;cd
225;;13/01/2019;99;5;s;cc
226;4036;13/01/2019;41;2;s;cd
227;;13/01/2019;84;6;s;cc
228;2194;13/01/2019;60;2;s;cd
229;4417;13/01/2019;7;3;n;cd
230;2105;13/01/2019;43;2;s;d
231;;13/01/2019;109;1;n;cc
232;;14/01/2019;85;2;s;cd
233;1881;14/01/2019;45;3;n;cc
234;2505;14/01/2019;1;3;s;cc
235;1767;14/01/2019;57;5;n;cd
236;2740;14/01/2019;71;3;;cd
237;;14/01/2019;83;6;s;cc
238;1591;14/01/2019;38;4;n;cc
239;1563;14/01/2019;69;2;s;cd
240;;14/01/2019;94;5;n;cd
241;;14/01/2019;109;1;s;d
242;1025;14/01/2019;62;4;n;d
243;1309;14/01/2019;50;3;;cd
244;1962;14/01/2019;65;4;n;cd
245;4507;14/01/2019;60;2;n;cd
246;;14/01/2019;105;5;n;cc
247;3325;14/01/2019;19;2;n;cd
248;169;14/01/2019;50;3;n;cd
249;3601;14/01/2019;4;6;n;cc
250;2619;15/01/2019;36;1;;cd
251;;15/01/2019;106;4;n;cc
252;;15/01/2019;84;1;n;d
253;3180;15/01/2019;26;3;n;d
254;;15/01/2019;80;3;n;cc
255;;15/01/2019;93;2;n;cc
256;890;15/01/2019;4;4;n;cc
257;2043;15/01/2019;15;2;n;cc
258;2087;15/01/2019;39;6;n;d
259;;15/01/2019;76;3;n;d
260;166;15/01/2019;14;2;n;d
261;3615;15/01/2019;64;1;s;cd
262;992;15/01/2019;73;5;s;cc
263;3078;15/01/2019;56;1;n;cc
264;;15/01/2019;107;5;s;cd
265;;15/01/2019;83;4;n;cc
266;2957;16/01/2019;28;4;s;cc
267;877;16/01/2019;28;4;n;cc
268;;16/01/2019;100;1;s;cd
269;2586;16/01/2019;70;3;n;cc
270;;16/01/2019;111;4;s;cc
271;2557;16/01/2019;7;4;n;cd
272;2727;16/01/2019;44;5;s;cc
273;1244;16/01/2019;2;5;n;cc
274;;16/01/2019;118;4;s;cc
275;2251;16/01/2019;63;6;n;cd
276;;16/01/2019;100;3;;d
277;1971;16/01/2019;55;5;s;cd
278;2793;17/01/2019;9;2;s;cc
279;;17/01/2019;97;4;s;d
280;3118;17/01/2019;45;3;s;cd
281;75;17/01/2019;14;2;n;d
282;2597;17/01/2019;5;5;n;d
283;1196;17/01/2019;62;2;n;cd
284;4488;17/01/2019;55;6;n;d
285;4583;17/01/2019;44;1;n;cd
286;505;17/01/2019;22;1;n;cd
287;850;17/01/2019;29;3;n;d
288;;17/01/2019;98;4;n;cc
289;363;17/01/2019;32;1;n;cc
290;2310;18/01/2019;11;5;n;cc
291;;18/01/2019;88;1;n;cc
292;;18/01/2019;113;5;n;d
293;;18/01/2019;112;1;s;d
294;1700;18/01/2019;10;6;n;cc
295;1347;18/01/2019;23;2;s;cd
296;;18/01/2019;116;3;n;cc
297;3244;18/01/2019;66;3;s;cc
298;4308;18/01/2019;43;4;s;cd
299;;18/01/2019;105;1;s;cc
300;;18/01/2019;119;3;n;cc
301;1727;18/01/2019;59;4;s;cc
302;;18/01/2019;119;3;s;cc
303;1762;18/01/2019;31;3;n;cc
304;4536;18/01/2019;16;6;n;d
305;111;19/01/2019;61;2;;cd
306;;19/01/2019;91;6;n;cc
307;4172;19/01/2019;65;1;n;cc
308;541;19/01/2019;63;6;n;cc
309;4171;19/01/2019;34;4;n;cc
310;;19/01/2019;99;2;n;d
311;2399;19/01/2019;3;1;n;cd
312;;19/01/2019;91;3;n;cc
313;3781;19/01/2019;38;1;s;cd
314;2558;19/01/2019;17;6;n;d
315;2687;19/01/2019;32;1;s;cc
316;968;19/01/2019;56;1;n;cc
317;3605;19/01/2019;26;5;s;d
318;;19/01/2019;93;1;n;cd
319;;19/01/2019;100;2;s;cc
320;2891;19/01/2019;59;3;n;d
321;498;19/01/2019;72;1;n;cc
322;3507;19/01/2019;43;2;n;cd
323;3431;19/01/2019;15;3;n;cd
324;2803;19/01/2019;69;1;n;d
325;;20/01/2019;103;1;s;cd
326;4489;20/01/2019;48;2;;cc
327;;20/01/2019;95;4;s;cd
328;2549;20/01/2019;67;6;s;d
329;;20/01/2019;116;6;n;d
330;4998;20/01/2019;30;6;s;d
331;;20/01/2019;102;1;n;cc
332;;20/01/2019;104;6;s;cc
333;;20/01/2019;85;4;n;cc
334;2284;20/01/2019;59;5;;cc
335;2861;20/01/2019;59;3;n;cd
336;;20/01/2019;78;6;n;cd
337;;20/01/2019;113;6;n;cd
338;;20/01/2019;107;6;n;cd
339;2098;20/01/2019;37;5;n;d
340;;20/01/2019;87;5;n;cc
341;932;20/01/2019;35;2;;cd
342;3326;20/01/2019;44;5;n;d
343;2780;20/01/2019;33;1;n;cc
344;;20/01/2019;77;5;n;cc
345;;20/01/2019;119;1;n;d
346;;20/01/2019;101;4;n;cc
347;2853;21/01/2019;22;6;n;cc
348;;21/01/2019;95;3;n;cd
349;509;21/01/2019;65;4;n;cd
350;;21/01/2019;98;4;n;cc
351;4919;21/01/2019;57;2;n;d
352;;21/01/2019;109;5;s;cd
353;139;21/01/2019;9;3;s;cc
354;1188;21/01/2019;5;5;n;cd
355;76;21/01/2019;58;2;s;d
356;;21/01/2019;111;2;n;cd
357;2931;21/01/2019;58;1;s;d
358;3025;21/01/2019;62;5;n;d
359;;22/01/2019;102;2;s;cd
360;2874;22/01/2019;41;2;n;d
361;;22/01/2019;107;2;s;cc
362;3407;22/01/2019;8;3;n;d
363;;22/01/2019;92;6;s;cd
364;4773;22/01/2019;17;3;n;d
365;;22/01/2019;92;3;s;cc
366;1672;22/01/2019;48;3;n;cc
367;;22/01/2019;109;2;;cd
368;;22/01/2019;116;2;s;cd
369;;22/01/2019;102;6;s;cc
370;1965;22/01/2019;37;1;s;cc
371;;22/01/2019;108;4;s;cd
372;3098;22/01/2019;33;1;n;d
373;2692;22/01/2019;15;3;n;cc
374;4112;22/01/2019;60;5;n;d
375;4159;22/01/2019;5;3;n;cd
376;694;22/01/2019;74;3;n;d
377;2020;22/01/2019;69;4;n;cc
378;1200;22/01/2019;13;1;n;d
379;714;22/01/2019;9;3;n;d
380;3472;22/01/2019;66;4;n;cd
381;2687;22/01/2019;52;5;n;d
382;959;23/01/2019;72;4;n;cc
383;;23/01/2019;119;3;n;d
384;3192;23/01/2019;20;6;s;cd
385;;23/01/2019;105;6;n;d
386;3313;23/01/2019;71;2;s;cd
387;;23/01/2019;114;3;n;cd
388;2589;23/01/2019;66;2;s;cc
389;256;23/01/2019;34;4;s;cc
390;;23/01/2019;109;4;s;cd
391;3525;23/01/2019;6;5;n;d
392;;23/01/2019;116;1;s;cc
393;3604;23/01/2019;13;3;s;cd
394;4465;23/01/2019;36;2;n;cc
395;2935;24/01/2019;42;5;n;cd
396;3527;24/01/2019;49;6;;cc
397;;24/01/2019;79;3;n;cc
398;;24/01/2019;96;2;n;d
399;;24/01/2019;89;6;n;cc
400;862;24/01/2019;3;1;n;cd
401;;24/01/2019;96;5;n;d
402;390;24/01/2019;40;5;n;d
403;;24/01/2019;111;4;n;d
404;;24/01/2019;81;5;s;cd
405;1623;24/01/2019;32;1;n;cc
406;4638;24/01/2019;34;5;s;cc
407;2888;24/01/2019;33;5;n;cc
408;3826;24/01/2019;53;3;s;cc
409;;24/01/2019;107;2;n;cc
410;4905;24/01/2019;47;3;s;d
411;;24/01/2019;111;4;n;cc
412;1472;25/01/2019;68;1;n;cc
413;4616;25/01/2019;9;3;n;d
414;188;25/01/2019;51;6;n;d
415;1330;25/01/2019;18;1;n;cd
416;3560;25/01/2019;23;5;s;d
417;;25/01/2019;110;3;;cc
418;3712;25/01/2019;67;2;s;d
419;;25/01/2019;109;3;s;cc
420;545;25/01/2019;4;1;s;cc
421;2708;25/01/2019;46;4;s;cc
422;;25/01/2019;85;5;n;d
423;2295;25/01/2019;74;3;s;cd
424;323;25/01/2019;3;1;n;cd
425;2114;25/01/2019;52;5;s;cc
426;1233;25/01/2019;40;5;n;d
427;;25/01/2019;89;1;s;cc
428;189;25/01/2019;21;3;n;cd
429;142;25/01/2019;25;6;;cc
430;705;25/01/2019;38;3;;cc
431;4842;25/01/2019;52;2;;d
432;2879;25/01/2019;59;5;s;cd
433;2458;25/01/2019;24;5;n;d
434;;25/01/2019;79;3;s;d
435;;25/01/2019;82;2;n;d
436;654;25/01/2019;32;4;s;cc
437;2739;26/01/2019;61;4;n;cd
438;1246;26/01/2019;36;3;;cd
439;;26/01/2019;98;1;n;d
440;;26/01/2019;84;4;n;cd
441;;26/01/2019;112;4;n;cc
442;;26/01/2019;112;6;n;cd
443;;26/01/2019;92;4;n;cc
444;;26/01/2019;115;2;n;cc
445;1616;26/01/2019;74;5;;d
446;83;26/01/2019;32;1;n;cc
447;;26/01/2019;91;1;n;cd
448;4500;26/01/2019;18;2;n;cc
449;;26/01/2019;96;4;n;cd
450;1578;26/01/2019;63;6;n;d
451;2941;26/01/2019;26;1;n;cd
452;611;26/01/2019;18;1;n;cc
453;1837;26/01/2019;22;4;n;cd
454;;26/01/2019;97;1;n;cc
455;1293;26/01/2019;20;6;n;cc
456;169;26/01/2019;11;4;s;cc
457;;26/01/2019;98;3;s;cc
458;3769;26/01/2019;71;5;n;cd
459;434;26/01/2019;22;3;s;cd
460;;26/01/2019;112;2;n;cc
461;;26/01/2019;98;3;s;cc
462;3178;26/01/2019;33;6;n;cd
463;36;26/01/2019;17;5;s;cc
464;;26/01/2019;113;3;n;d
465;4198;26/01/2019;57;1;s;cd
466;4707;27/01/2019;8;6;n;d
467;;27/01/2019;87;5;s;cc
468;3757;27/01/2019;10;5;n;cd
469;;27/01/2019;109;6;s;cc
470;;27/01/2019;81;3;n;d
471;2153;27/01/2019;50;3;;cc
472;246;27/01/2019;44;1;s;d
473;;27/01/2019;81;5;s;cd
474;;27/01/2019;119;5;s;cc
475;;27/01/2019;99;1;s;cc
476;2746;27/01/2019;25;3;n;cd
477;;27/01/2019;118;4;n;cd
478;889;27/01/2019;6;5;n;d
479;;28/01/2019;106;5;n;cd
480;;28/01/2019;99;3;n;d
481;1469;28/01/2019;42;4;n;d
482;;28/01/2019;98;3;n;cc
483;;28/01/2019;87;4;n;d
484;3741;28/01/2019;1;5;n;cd
485;4618;28/01/2019;72;1;n;cd
486;;28/01/2019;117;3;n;d
487;;28/01/2019;103;1;n;cc
488;3030;28/01/2019;55;5;s;cc
489;2080;28/01/2019;25;4;n;cd
490;639;28/01/2019;34;6;s;d
491;605;28/01/2019;69;5;n;cc
492;;29/01/2019;78;5;s;d
493;3330;29/01/2019;5;1;s;cc
494;;29/01/2019;88;4;s;cd
495;359;29/01/2019;24;6;n;cc
496;;29/01/2019;107;1;s;cc
497;4865;29/01/2019;4;6;s;d
498;3817;29/01/2019;74;5;n;cd
499;3186;29/01/2019;55;5;n;d
500;1735;29/01/2019;45;2;;cc
501;;29/01/2019;108;6;n;cc
502;4293;29/01/2019;20;3;n;d
503;1126;29/01/2019;3;2;n;cd
504;3240;29/01/2019;66;4;n;d
505;22;29/01/2019;73;1;n;cd
506;1540;29/01/2019;47;6;n;d
507;;29/01/2019;117;6;n;cc
508;980;29/01/2019;3;3;s;cc
509;;30/01/2019;118;1;n;cd
510;;30/01/2019;103;4;s;cc
511;;30/01/2019;82;5;n;cd
512;3615;30/01/2019;10;2;s;cc
513;1591;30/01/2019;69;2;n;cd
514;1455;30/01/2019;40;2;s;cc
515;;30/01/2019;88;2;n;cc
516;;30/01/2019;86;5;n;cc
517;1912;30/01/2019;67;2;n;cd
518;874;30/01/2019;13;4;n;cc
519;2732;30/01/2019;62;6;n;cc
520;1468;30/01/2019;13;1;s;cc
521;;30/01/2019;94;2;;cc
522;;30/01/2019;79;2;s;cd
523;4087;30/01/2019;74;4;s;d
524;3191;30/01/2019;42;4;s;cc
525;1173;31/01/2019;21;2;s;d
526;;31/01/2019;109;3;n;cc
527;3969;31/01/2019;8;6;s;cc
528;3834;31/01/2019;24;5;n;cd
529;2718;31/01/2019;63;4;s;cd
530;3958;31/01/2019;9;1;n;d
531;2553;31/01/2019;44;6;s;d
532;;31/01/2019;79;3;n;cc
533;1531;31/01/2019;22;6;;cd
534;;31/01/2019;113;3;;cc
535;4000;31/01/2019;2;1;s;d
536;4919;31/01/2019;63;3;n;d
537;4916;31/01/2019;26;3;s;cc
538;;31/01/2019;91;1;n;cc
539;975;31/01/2019;9;3;s;d
540;803;01/02/2019;72;3;n;cc
541;2158;01/02/2019;20;1;;cc
542;;01/02/2019;103;3;n;cc
543;1259;01/02/2019;28;1;n;cc
544;4444;01/02/2019;45;4;n;cc
545;;01/02/2019;115;2;n;cd
546;4678;01/02/2019;37;3;n;d
547;;01/02/2019;101;1;n;cc
548;;01/02/2019;76;6;;cd
549;3660;01/02/2019;53;2;n;cc
550;2488;01/02/2019;65;1;n;cc
551;;01/02/2019;97;6;n;d
552;4715;01/02/2019;75;5;n;cd
553;1741;01/02/2019;48;4;n;d
554;2089;01/02/2019;55;1;n;cd
555;;01/02/2019;114;6;n;cc
556;4287;01/02/2019;71;2;n;cc
557;4947;01/02/2019;12;3;n;d
558;912;02/02/2019;21;3;n;cc
559;1091;02/02/2019;51;3;s;cd
560;4804;02/02/2019;34;3;s;cc
561;;02/02/2019;90;4;n;d
562;3855;02/02/2019;43;2;s;cd
563;3409;02/02/2019;60;6;n;cd
564;2305;02/02/2019;30;3;s;cd
565;2775;02/02/2019;5;4;n;cd
566;;02/02/2019;105;5;s;d
567;;02/02/2019;76;2;n;cc
568;;02/02/2019;106;4;s;cc
569;;03/02/2019;111;3;n;d
570;;03/02/2019;80;3;s;cc
571;3471;03/02/2019;11;3;n;d
572;952;03/02/2019;17;3;s;cd
573;3652;03/02/2019;37;5;n;cc
574;4685;03/02/2019;55;4;;cd
575;2315;03/02/2019;24;2;s;cc
576;;03/02/2019;112;4;s;d
577;4213;03/02/2019;58;2;s;cc
578;48;03/02/2019;24;3;s;d
579;;03/02/2019;97;2;n;d
580;;04/02/2019;93;2;n;d
581;131;04/02/2019;43;1;n;d
582;2795;04/02/2019;49;4;n;cd
583;541;04/02/2019;17;2;n;cc
584;1217;04/02/2019;73;3;n;cc
585;;04/02/2019;83;3;n;cc
586;2058;04/02/2019;66;6;n;cd
587;;04/02/2019;89;2;n;cc
588;52;04/02/2019;50;2;n;d
589;1054;04/02/2019;60;1;n;cc
590;1788;04/02/2019;47;2;n;cc
591;2700;04/02/2019;15;6;s;cd
592;;04/02/2019;102;5;n;cc
593;;04/02/2019;98;1;s;cc
594;;04/02/2019;84;1;n;cc
595;;04/02/2019;94;5;s;d
596;3982;04/02/2019;20;1;s;d
597;2205;04/02/2019;15;5;s;d
598;225;04/02/2019;34;6;n;cd
599;3757;04/02/2019;70;3;s;cc
600;;04/02/2019;92;5;s;cd
601;2776;04/02/2019;66;5;n;cc
602;;05/02/2019;97;4;n;cd
603;2595;05/02/2019;5;2;;cc
604;2363;05/02/2019;51;3;n;d
605;808;05/02/2019;62;6;n;cd
606;;05/02/2019;118;6;n;cd
607;;05/02/2019;113;6;n;d
608;4778;05/02/2019;58;4;n;cc
609;154;05/02/2019;9;2;n;cd
610;3358;05/02/2019;12;2;n;cd
611;;05/02/2019;92;4;s;cc
612;2301;05/02/2019;61;1;n;cd
613;;05/02/2019;90;2;s;d
614;506;05/02/2019;40;2;n;d
615;3122;05/02/2019;64;1;s;cc
616;3996;06/02/2019;43;4;n;cd
617;4640;06/02/2019;71;3;s;cc
618;;06/02/2019;105;2;n;d
619;;06/02/2019;93;2;n;cd
620;377;06/02/2019;6;4;n;cd
621;2050;06/02/2019;25;2;n;cd
622;2768;06/02/2019;53;3;n;cc
623;;06/02/2019;90;4;s;d
624;697;06/02/2019;14;5;;cc
625;2398;06/02/2019;11;3;s;cc
626;1690;06/02/2019;38;6;s;cd
627;3426;06/02/2019;22;4;s;d
628;2765;06/02/2019;59;4;s;d
629;;06/02/2019;110;1;n;d
630;;06/02/2019;92;4;s;cc
631;3252;07/02/2019;5;5;n;cc
632;;07/02/2019;116;4;s;cc
633;4195;07/02/2019;13;5;n;cc
634;;07/02/2019;91;1;s;cd
635;656;07/02/2019;28;3;n;cc
